Student,ID,SIS User ID,SIS Login ID,Section,Ready for R Prelab (314531),Histograms and Boxplots Prelab (314512),Mean versus Median Prelab (314527),Simulating Confidence Intervals Prelab (314532),Testing about Proportions Prelab (314530),Time Plots and QQ Plots Prelab (314545),CLT Prelab (314509),One Mean Prelab (314528),Paired Mean Prelab (314529),Comparing Two Means Prelab (314510),ANOVA Prelab (314496),Linear Regression Prelab (314526),Creative Reflection Prelab (314511),Attendance Lab 00: Sept 11-14 (314497),Attendance Lab 01: Sept 18-21 (314498),Attendance Lab 02: Sept 25-28 (314499),Attendance Lab 03: Oct 2-5 (314500),Attendance Lab 04: Oct 9-12 (314501),Attendance Lab 05: Oct 23-26 (314502),Attendance Lab 06: Oct 30-Nov 2 (314503),Attendance Lab 07: Nov 6-9 (314504),Attendance Lab 08: Nov 13-16 (314505),Attendance Lab 09: Nov 20-22 (314506),Attendance Lab 10: Nov 27-30 (314507),Attendance Lab 11: Dec 4-7 (314508),Ticket Lab 00: Sept 11-14 (314533),Ticket Lab 01: Sept 18-21 (314534),Ticket Lab 02: Sept 25-28 (314535),Ticket Lab 03: Oct 2-5 (314536),Ticket Lab 04: Oct 9-12 (314537),Ticket Lab 05: Oct 23-26 (314538),Ticket Lab 06: Oct 30-Nov 2 (314539),Ticket Lab 07: Nov 6-9 (314540),Ticket Lab 08: Nov 13-16 (314541),Ticket Lab 09: Nov 20-22 (314542),Ticket Lab 10: Nov 27-30 (314543),Ticket Lab 11: Dec 4-7 (314544),iclicker00 (314513),iclicker01 (314514),iclicker02 (314515),iclicker03 (314516),iclicker04 (314517),iclicker05 (314518),iclicker06 (314519),iclicker07 (314520),iclicker08 (314521),iclicker09 (314522),iclicker10 (314523),iclicker11 (314524),LecParticSept11-15 (379065),LecParticSept18-22 (379220),LecParticSept25-29 (379226),LecParticOct02-06 (387288),LecParticOct09-13 (387289),LecParticOct23-27 (387379),LecParticOct30-Nov03 (387382),LecParticNov06-10 (387383),LecParticNov13-17 (387387),"HW 1 Data, Sampling (314550)",HW 2 Plots Prob RV (314551),HW 3 About p (314552),HW 4 About p1-p2 (314553),HW 5 About one mean (314554),HW 6 About paired (314555),HW 7 About Two Means (314556),HW 8 ANOVA (314557),HW 9 Regression (314558),HW 10 Chi Square (314549),Exam 1 (314546),Exam 2 (314547),Final Exam (314548),Write To Learn #1 Pizza Study Design Initial Submission (341415),Write To Learn #1 Pizza Study Peer Review (395554),Write To Learn #1 Pizza Study Revision (341435),Write To Learn #2 Chocolate and Cycling Initial Submission (343539),Write To Learn #2 Chocolate and Cycling Peer Review (395644),Write To Learn #2 Chocolate and Cycling Revision (343733),EC ECoachWriting (355899),EC MWriteStartSurvey (355863),EC ECoachEx1Plan (355803),EC ECoachEx2Plan (355859),EC ECoachEndSurvey (355776),EC MWriteEndSurvey (355864),Practice Homework (355757),Dummy1,Dummy2,Dummy3,Dummy4,Dummy5,Dummy6,Dummy7,Dummy8,Dummy9,Dummy10,Dummy11,Dummy12,Dummy13,Dummy14,Dummy15,Dummy16,Dummy17,Dummy18,Dummy19,Dummy20,Dummy21,Dummy22,Dummy23,Dummy24,Dummy25,Dummy26,Dummy27,Dummy28,Dummy29,Dummy30,Prelab Assignments Current Score,Prelab Assignments Final Score,M-Write WTL Assignments Current Score,M-Write WTL Assignments Final Score,Homework Current Score,Homework Final Score,Exams Current Score,Exams Final Score,Lab Tickets Current Score,Lab Tickets Final Score,Lab Attendance Current Score,Lab Attendance Final Score,Lab iClicker Current Score,Lab iClicker Final Score,Lab Resources Current Score,Lab Resources Final Score,Lecture Participation Current Score,Lecture Participation Final Score,Other Current Score,Other Final Score,Current Score,Final Score
,,,,,,,,,,,,,,Muted,Muted,Muted,Muted,,,,,,,,,Muted,Muted,Muted,Muted,,,,,,,,,Muted,Muted,Muted,Muted,,,,,,,,,Muted,Muted,Muted,Muted,,,,,,,,Muted,,,,,,,,Muted,Muted,Muted,Muted,,Muted,Muted,,,,Muted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Points Possible,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,35,35,35,35,35,35,35,35,35,35,75,75,100,3,3,4,3,3,4,2,2,2,2,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
"STUDENT, A4",423368,523368,aaabbb,STATS 250 Section 000,2,2,1.5,2,2,2,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0,0,0,0,,,34,34.5,21,30,34,28.75,,,,,62,61,,2,3,3,,,,,2,2,,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,80,40,92.14,57.86,82,49.2,100,66.67,100,66.67,100,75,,,42.86,33.33,100,63.64,83.96,50.93
"STUDENT, A5",593373,693373,aaabbb,STATS 250 Section 000,2,2,2,1.5,2,2,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,33.33,32,32,30,31,29.5,,,,,68,59.5,,3,3,4,,,,,2,2,,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,100,50,90.47,59.63,85,51,100,66.67,100,66.67,100,75,,,100,77.78,85.71,54.55,86.99,52.94
"STUDENT, A6",255067,355067,aaabbb,STATS 250 Section 000,2,1.5,2,2,2,2,0,1.5,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,31,29.5,30,23,31,29.5,,,,,51,52.5,,0,0,2,,,,,2,,,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.56,55.77,20,10,86.29,55.24,69,41.4,100,66.67,100,66.67,100,75,,,100,77.78,83.33,45.45,70.24,42.99
"STUDENT, A7",874796,974796,aaabbb,STATS 250 Section 000,2,2,1.5,1.5,0,1.5,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,28,32.5,32,28,33.5,27.75,,,,,48,70,,3,3,4,,,,,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.78,53.85,100,50,88,57.7,78.67,47.2,100,66.67,100,66.67,100,75,,,100,77.78,87.5,63.64,81.29,49.44
"STUDENT, A8",784383,884383,aaabbb,STATS 250 Section 000,0,1.5,2,0,2,2,2,1.5,0,,,,,1,1,1,1,0,1,1,1,,,,,2,2,2,2,0,2,2,2,,,,,2,2,2,2,0,0,2,2,2,,,,0.5,0,0,0,0,0,0.5,,,29.33,27,24.5,25.5,22.5,28.25,,,,,59.5,48.5,,2,3,4,,,,,2,2,2,,,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.11,42.31,90,45,76.9,49.87,72,43.2,87.5,58.33,87.5,58.33,77.78,58.33,,,28.57,22.22,81.25,59.09,73.42,44.53
"STUDENT, A9",882414,982414,aaabbb,STATS 250 Section 000,2,2,2,2,1.5,2,2,1,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0,0,0,0,0,0,0,,,24,30.5,25,27.5,25.5,26.75,,,,,55,57.5,,2,3,4,,,,2,2,2,,,,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.89,61.54,90,45,77.29,50.56,75,45,100,66.67,100,66.67,100,75,,,0,0,81.25,59.09,77.11,46.92
"STUDENT, A10",442735,542735,aaabbb,STATS 250 Section 000,2,2,2,2,2,2,2,1.5,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,33.33,26.5,27.5,26,32.5,27.25,,,,,42.5,60,,1,3,3,,,,2,2,,2,,,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,70,35,84.05,54.95,68.33,41,100,66.67,100,66.67,100,75,,,100,77.78,81.25,59.09,71.82,43.87
"STUDENT, A11",179804,279804,aaabbb,STATS 250 Section 000,2,2,1.5,2,2,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,31,34,34,26,30,31.25,,,,,42.5,56.5,,2,3,4,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.44,65.38,90,45,91.57,59.13,66,39.6,100,66.67,100,66.67,100,75,,,100,77.78,88.89,72.73,71.45,43.53
